pod;leaf area
1.1;3.01
1.2;4.62
1.3;2.76
1.4;5.56
1.5;3.56
1.6;3.13
1.7;4.97
1.8;3.67
1.9;4.97
1.10;1.13
1.11;4.0
1.12;3.47
1.13;3.75
1.14;6.81
1.15;2.61
2.1;0.0
2.2;4.2
2.3;3.12
2.4;1.14
2.5;2.3
2.6;2.55
2.7;1.87
2.8;2.2
2.9;5.27
2.10;5.35
2.11;3.12
2.12;3.46
2.13;1.94
2.14;4.3
2.15;1.87
3.1;2.09
3.2;2.0
3.3;1.63
3.4;2.72
3.5;1.69
3.6;1.85
3.7;2.68
3.8;5.83
3.9;4.28
3.10;5.87
3.11;2.95
3.12;3.8
3.13;3.02
3.14;0.5
3.15;4.14
4.1;2.63
4.2;2.96
4.3;5.39
4.4;2.26
4.5;2.33
4.6;4.1
4.7;2.79
4.8;2.07
4.9;3.07
4.10;3.91
4.11;2.35
4.12;3.84
4.13;0.64
4.14;1.31
4.15;2.68
5.1;4.08
5.2;2.06
5.3;4.95
5.4;2.24
5.5;2.24
5.6;1.16
5.7;2.53
5.8;1.63
5.9;2.32
5.10;2.6
5.11;5.17
5.12;3.66
5.13;2.2
5.14;2.51
5.15;4.1
6.1;2.38
6.2;4.33
6.3;0.96
6.4;4.08
6.5;0.48
6.6;3.74
6.7;1.96
6.8;3.23
6.9;3.62
6.10;2.15
6.11;3.42
6.12;1.86
6.13;1.0
6.14;2.74
6.15;4.92
7.1;3.83
7.2;4.95
7.3;1.32
7.4;3.03
7.5;1.84
7.6;4.01
7.7;3.06
7.8;3.65
7.9;3.78
7.10;5.37
7.11;3.49
7.12;1.49
7.13;4.02
7.14;2.52
7.15;4.58
8.1;2.49
8.2;2.79
8.3;2.3
8.4;3.67
8.5;0.79
8.6;2.05
8.7;0.8
8.8;0.76
8.9;1.19
8.10;1.48
8.11;2.14
8.12;2.75
8.13;3.32
8.14;0.95
8.15;3.44
9.1;2.18
9.2;3.04
9.3;3.43
9.4;3.41
9.5;1.78
9.6;3.07
9.7;0.32
9.8;1.24
9.9;0.68
9.10;2.14
9.11;0.51
9.12;1.39
9.13;1.66
9.14;2.5
9.15;2.03
10.1;1.55
10.2;3.87
10.3;2.77
10.4;2.72
10.5;1.89
10.6;1.61
10.7;2.35
10.8;1.76
10.9;2.45
10.10;4.82
10.11;3.01
10.12;2.38
10.13;1.66
10.14;2.83
10.15;2.98
